"Webhook","Company Name","Website","Source Url","New column","ICP & Value Prop Analysis","ICP","Personas","Industries","Value_Proposition"
,"Prance","https://prance.ai","https://www.thesaasnews.com/news/prance-raises-seed-funding-round",,"Response","ICP is AI-first mid-market to enterprise product and engineering teams at technology-enabled companies who need to integrate advanced generative AI/NLP features into their products or internal workflows quickly and reliably, and who require a production-ready, modular, and privacy-conscious LLM orchestration layer rather than building and maintaining bespoke model orchestration in-house.","Product managers and product leaders and Engineering leads/CTOs and ML/AI engineers and DevOps/SRE teams","SaaS and Enterprise Software and Fintech and Healthcare and E-commerce and Media/Information Services",
,"Prosperr.io","https://prosperr.io","https://www.thesaasnews.com/news/prosperr-io-raises-4-million-seed-round",,"Response","ICP is salaried individuals and enterprises (employers/HR & finance teams) seeking tax compliance, tax planning, payroll tax automation, and employee financial wellness solutions.","title 1 and title 2","target 1 and target 2","Prosperr.io provides an AI-enabled tax and payroll platform that simplifies income tax planning, compliance, and filing for individuals while offering subscription-based tax infrastructure and employee financial wellness/payroll tax automation for enterprises to reduce liability, save money, and improve employee retention."
,"Repsense","https://repsense.com","https://www.thesaasnews.com/news/repsense-secures-2-million-seed-round",,"Response","ICP is small-to-midsize companies, startups, and marketing/branding agencies looking for a short, brandable .com name (and quick brand identity) to launch or rebrand products/services—particularly teams focused on marketing, PR, reputation, or customer insights.","marketing managers and brand managers; startup founders and product managers; creative agency owners and designers; PR/communications leads","marketing & advertising and creative agencies; SaaS/technology and startups; professional services (PR/consulting) and e‑commerce/retail","Provides a short, memorable .com brand name with included logo/source files and purchase protections so marketing teams and agencies can rapidly adopt a credible, ready-to-use identity for reputation, insights, or marketing-focused products."
,"Zinit","https://zinit.io","https://www.thesaasnews.com/news/zinit-closes-8-million-seed-round",,"Response","ICP is mid-market to enterprise procurement and sourcing teams at companies that run significant indirect and direct spend and need to automate and scale supplier discovery, RFP/tendering and reduce sourcing cycle time and costs.","Procurement Managers and Category Managers; Heads of Procurement / Chief Procurement Officers and Supply Chain Leaders","Manufacturing and Industrials; Technology and Software; Retail and Consumer Goods; Healthcare and Life Sciences; Professional Services","Zinit provides an AI-powered procurement/sourcing platform that automates RFP creation and tendering, discovers and verifies suppliers, speeds sourcing cycles, and reduces indirect spend by double-digit percentages—enabling procurement teams to save time and drive cost savings."
,"Nodu","https://nodu.io","https://www.thesaasnews.com/news/nodu-raises-1-45-million-pre-seed-funding",,"Response","ICP is individual developers, technical founders, and small startup teams seeking hands-on engineering expertise and technical content — especially those building web applications, AI integrations, or hardware/IoT projects.","developers and engineering teams; technical founders and startup builders","software startups and web development; AI/ML and tooling; hardware/IoT and maker projects","Provides practical, code-first solutions, project examples, and engineering guidance that help developers and small technical teams build, integrate, and ship web, AI, and IoT projects quickly. The site demonstrates hands-on implementations and reusable patterns that readers can adapt for their own products."
,"Newera.ai","https://newera.ai","https://www.thesaasnews.com/news/newera-ai-raises-2-1-million-in-funding",,"Response","ICP is government agencies and enterprise teams (particularly IT, security, product and HR groups) that need to move AI projects from proof-of-concept to production quickly and securely, including organizations operating in Arabic and English contexts.","CTOs and Heads of AI/ML; CISOs and Security/ GRC leaders; VP/Directors of Product and Engineering; HR Directors and People Ops leaders; Enterprise Program/Product Managers.","Government agencies and public sector organizations; Enterprise organizations across industries with emphasis on cybersecurity/GRC and HR functions (enterprises plural).","They deliver production-ready, custom AI systems in weeks (1–4 weeks for MVP), trained on customers’ real data and integrated into workflows with enterprise-grade security and private deployments, with bilingual (Arabic/English) support and a co-development approach to accelerate PoC-to-production."
,"Lovable","https://lovable.in","https://markets.financialcontent.com/wral/article/tokenring-2026-1-1-the-end-of-saas-lovable-secures-330m-to-launch-the-software-as-a-system-era",,"Response","ICP is early-stage to growth-stage startups and small-to-medium enterprises (SMEs) that need end-to-end brand, product and digital experience design to accelerate user acquisition and retention—typically companies without large in-house design/marketing teams looking for an external partner to build brand identity, product UX/UI and conversion-focused digital campaigns.","founders and product managers and marketing leaders and design leads","consumer technology companies and direct-to-consumer brands and SaaS businesses and healthcare/education tech providers","Lovable.in positions itself as a full-service creative and product design partner that rapidly creates high-impact brand identities, user-centered product experiences, and performance-driven marketing assets to help growing companies acquire and retain users. They combine strategic branding, UX/UI design, and campaign execution so lean teams can launch and scale faster."
,"Ambassador","https://ambassador.com","https://www.geekwire.com/2025/seattle-startup-ambassador-raises-7m-to-help-companies-analyze-customer-feedback-with-help-from-ai/",,"Response","ICP is mid-market and enterprise companies (B2B SaaS and B2C/e-commerce brands) that rely on repeat customer acquisition, partner/affiliate/referral channels, and need scalable, trackable referral and partner programs to drive revenue growth.","marketing leaders (VP/Head of Marketing, Growth Managers), partnership leaders (Head of Partnerships, Affiliate/Channel Managers), and customer success/CRM leads (Customer Success Directors, Loyalty Managers)","SaaS companies and e-commerce/retail brands (also fintech, travel/hospitality, and consumer services using partner/referral channels)","Ambassador provides an enterprise-grade platform to acquire new customers by turning existing customers, partners, and influencers into trackable, scalable referral and partner channels—centralizing program management, tracking, and payouts to increase acquisition velocity and ROI."
,"Cyphlens","https://www.cyphlens.com","https://www.thesaasnews.com/news/cyphlens-raises-3-8-million-seed-round",,"Response","ICP is mid-to-large enterprises and government organizations that handle highly sensitive human-readable data and need persistent, audit-able, low-friction visual access controls — specifically security, compliance, and IT teams at financial services firms, healthcare providers, legal firms, HR/internal ops, executive/board offices, and defense contractors.","Security leaders and teams, Compliance officers and privacy teams, IT/Admins/SREs, Executives and board members, Client-facing professionals (finance advisors, legal counsel, healthcare practitioners), HR and internal ops managers.","Finances, Healthcares, Legals, Human Resources & Internal Operations, Government & Defense, Enterprise Technology (SaaS/large enterprises).","Cyphlens lets authorized humans view and interact with sensitive information while it remains encrypted everywhere else — delivering frictionless, lens-based MFA and persistent file-level controls (revocation, time-bound access, auditability) to stop human-targeted breaches and AI/data scraping without disrupting workflows."
,"Zinit","https://zinit.com","https://www.thesaasnews.com/news/zinit-closes-8-million-seed-round",,"Response","ICP is procurement and sourcing teams (and their leaders) at mid-market to large enterprises seeking to digitize and optimize indirect/spend management and strategic sourcing processes.","Procurement Directors and Chief Procurement Officers (CPOs) and Category/Strategic Sourcing Managers and Sourcing/Procurement Analysts","telecommunications, mining, retail, (and broader industrials and enterprise services)","Zinit is an AI-driven procurement platform that automates and streamlines RFPs and strategic sourcing to increase transparency, reduce cycle time, and deliver double-digit savings (e.g., ~12–15%+ on indirect spend) for enterprise procurement teams."
